time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-27T04:53:47.232Z,-50.327,130.5338,10,5,mb,,129,16.649,1.09,us,us70006rf7,2019-12-27T05:09:18.040Z,"Western Indian-Antarctic Ridge",earthquake,13,1.9,0.107,28,reviewed,us,us
2019-12-27T03:20:39.655Z,3.4555,-73.9805,10,4.6,mb,,92,1.421,1.22,us,us70006rer,2019-12-27T03:40:19.040Z,"8km SSE of Lejanias, Colombia",earthquake,6.5,1.9,0.058,89,reviewed,us,us
2019-12-27T01:53:16.004Z,28.885,51.3613,38.28,5.1,mb,,73,5.838,0.9,us,us70006rec,2019-12-30T14:02:25.488Z,"44km SSE of Borazjan, Iran",earthquake,7.6,6.7,0.046,153,reviewed,us,us
2019-12-27T01:37:46.587Z,16.7917,-61.0227,35.02,4.8,mb,,103,0.478,1.02,us,us70006re9,2019-12-27T03:21:55.553Z,"54km N of Grande Anse, Guadeloupe",earthquake,6.6,7.4,0.042,176,reviewed,us,us
2019-12-26T19:24:55.965Z,32.3066,105.2109,10,4.5,mb,,93,4.188,0.64,us,us70006rbi,2019-12-26T22:04:06.040Z,"6km W of Qifo, China",earthquake,7.8,1.8,0.071,58,reviewed,us,us
2019-12-26T19:04:31.504Z,-17.4475,-178.7843,567.81,4.8,mb,,76,3.031,0.72,us,us70006raz,2019-12-26T21:40:00.040Z,"226km ESE of Lambasa, Fiji",earthquake,12.3,6.8,0.028,388,reviewed,us,us
2019-12-26T17:21:42.376Z,58.7872,158.866,15.58,4.9,mb,,108,4.239,0.78,us,us70006r99,2019-12-26T17:40:19.040Z,"73km WSW of Palana, Russia",earthquake,9.4,2.4,0.035,260,reviewed,us,us
2019-12-26T17:13:51.402Z,58.8427,158.7756,16.99,5.4,mww,,87,4.18,0.62,us,us70006r97,2019-12-30T18:06:42.040Z,"74km WSW of Palana, Russia",earthquake,7.9,3.8,0.078,16,reviewed,us,us
2019-12-26T15:15:13.236Z,-55.7473,-27.1713,18.78,5.2,mww,,46,5.558,0.83,us,us70006r89,2019-12-27T15:45:17.040Z,"106km N of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,10.1,3.8,0.078,16,reviewed,us,us
2019-12-26T15:14:33.245Z,-55.6399,-27.1756,24.79,4.6,mb,,80,5.535,1.06,us,us70006rkg,2019-12-27T16:12:33.040Z,"118km N of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,11.7,5.2,0.098,35,reviewed,us,us
2019-12-26T12:19:52.363Z,11.1734,122.706,38.3,4.9,mb,,86,8.194,0.91,us,us70006r7h,2019-12-27T02:12:46.520Z,"1km SW of Alimono, Philippines",earthquake,8.8,5.4,0.06,108,reviewed,us,us
2019-12-26T10:36:37.457Z,30.982,113.4582,10,5,mb,,54,8.691,0.96,us,us70006r6e,2019-12-28T08:46:43.926Z,"5km S of Tiandian, China",earthquake,9.3,1.9,0.054,109,reviewed,us,us
2019-12-26T09:26:41.426Z,38.7817,141.5243,63.5,4.9,mb,,122,2.671,0.9,us,us70006r5w,2019-12-26T11:26:53.575Z,"36km SSW of Ofunato, Japan",earthquake,8.6,6.8,0.048,136,reviewed,us,us
2019-12-26T09:24:35.995Z,-5.4887,150.8466,121.95,5.2,mb,,40,4.875,0.79,us,us70006r5x,2019-12-26T19:48:47.837Z,"78km E of Kimbe, Papua New Guinea",earthquake,5.1,7.1,0.041,201,reviewed,us,us
2019-12-26T07:22:10.378Z,-7.844,106.7599,54.71,4.7,mb,,54,3.728,0.69,us,us70006r59,2019-12-26T07:49:49.040Z,"46km S of Buniasih, Indonesia",earthquake,8.4,2.6,0.078,50,reviewed,us,us
2019-12-26T05:55:32.156Z,58.8214,158.8209,10,4.9,mb,,97,4.208,0.54,us,us70006r4p,2019-12-26T06:18:35.040Z,"73km WSW of Palana, Russia",earthquake,8.1,1.9,0.029,370,reviewed,us,us
2019-12-26T03:48:30.386Z,3.398,-74.0126,10,4.8,mb,,116,1.469,1.13,us,us70006r41,2019-12-26T10:58:40.468Z,"3km ENE of Mesetas, Colombia",earthquake,9.4,1.9,0.031,323,reviewed,us,us
2019-12-26T02:21:35.403Z,-22.0846,173.1524,59.95,5.5,mww,,102,5.308,1.22,us,us70006r3m,2019-12-30T18:15:52.040Z,"118km ENE of Ile Hunter, New Caledonia",earthquake,9.5,6.8,0.08,15,reviewed,us,us
2019-12-26T02:16:56.635Z,-22.0043,173.7065,10,5.1,mb,,123,5.828,1.25,us,us70006r3l,2019-12-26T02:51:17.040Z,"94km WSW of Ceva-i-Ra, Fiji",earthquake,10.2,1.9,0.069,68,reviewed,us,us
2019-12-26T02:06:38.682Z,-22.2079,173.2073,10,5.1,mb,,123,5.345,1.32,us,us70006r3i,2019-12-26T02:27:39.040Z,"121km E of Ile Hunter, New Caledonia",earthquake,11.3,1.9,0.055,106,reviewed,us,us
2019-12-25T20:38:52.929Z,50.8542,-130.2928,10,4.8,mwr,,167,1.547,1.21,us,us70006r1m,2019-12-26T02:28:42.267Z,"203km W of Port Hardy, Canada",earthquake,9,1.9,0.083,14,reviewed,us,us
2019-12-25T20:20:12.236Z,-25.2639,-116.0112,10,5.8,mww,,197,6.201,1.43,us,us70006r1g,2019-12-30T17:03:08.040Z,"Southern East Pacific Rise",earthquake,15.3,2,0.08,15,reviewed,us,us
2019-12-25T18:34:07.562Z,-22.1748,172.4866,10,4.9,mww,,125,4.197,1.06,us,us70006r11,2019-12-25T19:05:58.040Z,"51km ENE of Ile Hunter, New Caledonia",earthquake,13.7,1.9,0.078,16,reviewed,us,us
2019-12-25T18:13:56.948Z,-54.2504,140.5544,10,4.7,mb,,93,12.194,1.08,us,us70006r0q,2019-12-25T18:37:07.040Z,"West of Macquarie Island",earthquake,12.4,1.9,0.089,45,reviewed,us,us
2019-12-25T18:05:29.094Z,-22.2501,173.3423,10,4.9,mb,,121,4.992,0.96,us,us70006r0p,2019-12-25T18:25:48.040Z,"134km E of Ile Hunter, New Caledonia",earthquake,12.7,1.9,0.085,43,reviewed,us,us
2019-12-25T16:56:17.126Z,4.3226,126.974,10,5.2,mb,,100,3.061,0.63,us,us70006qzx,2019-12-25T17:15:53.040Z,"205km SE of Sarangani, Philippines",earthquake,5.7,1.8,0.07,68,reviewed,us,us
2019-12-25T14:58:10.675Z,-22.0853,173.4511,10,4.7,mb,,120,5.073,1.21,us,us70006qyv,2019-12-27T18:41:20.040Z,"122km WSW of Ceva-i-Ra, Fiji",earthquake,10.2,1.9,0.091,37,reviewed,us,us
2019-12-25T14:15:06.891Z,-22.1171,173.3803,10,5,mww,,120,5.011,1.01,us,us70006qyp,2019-12-27T18:17:14.040Z,"130km WSW of Ceva-i-Ra, Fiji",earthquake,11.1,1.8,0.075,17,reviewed,us,us
2019-12-25T13:00:18.247Z,39.3196,-29.7315,10,4.8,mb,,67,3.646,0.87,us,us70006qyb,2019-12-27T17:54:36.040Z,"120km E of Santa Cruz das Flores, Portugal",earthquake,10,1.9,0.035,257,reviewed,us,us
2019-12-25T12:23:13.899Z,-22.0342,173.7386,16.48,5.2,mww,,121,5.334,0.6,us,us70006qy1,2019-12-25T12:41:32.040Z,"92km WSW of Ceva-i-Ra, Fiji",earthquake,10.3,5.2,0.08,15,reviewed,us,us
2019-12-25T10:50:49.125Z,-21.9881,173.453,44.69,4.5,mb,,126,5.596,0.71,us,us70006qxh,2019-12-25T11:44:58.040Z,"119km WSW of Ceva-i-Ra, Fiji",earthquake,6.8,8.4,0.113,23,reviewed,us,us
2019-12-25T10:25:55.423Z,3.6426,-73.9539,10,4.5,mb,,75,1.249,1.13,us,us70006qwx,2019-12-25T10:49:45.040Z,"15km NNE of Lejanias, Colombia",earthquake,8.5,2,0.08,46,reviewed,us,us
2019-12-25T10:11:43.999Z,-21.9579,173.5649,24.08,5.2,mww,,120,5.167,0.79,us,us70006qwn,2019-12-25T10:29:52.040Z,"107km WSW of Ceva-i-Ra, Fiji",earthquake,9.7,5.4,0.078,16,reviewed,us,us
2019-12-25T08:58:03.078Z,31.4894,140.0333,118.92,5,mb,,92,1.631,1.21,us,us70006qvr,2019-12-25T09:52:35.733Z,"178km S of Hachijo-jima, Japan",earthquake,3.9,6.7,0.028,405,reviewed,us,us
2019-12-25T07:04:18.923Z,23.6437,95.9931,10,4.6,mb,,71,1.655,0.52,us,us70006quh,2019-12-25T07:37:35.040Z,"95km NNW of Mogok, Burma",earthquake,6.6,1.9,0.105,27,reviewed,us,us
2019-12-25T06:53:20.833Z,-22.3417,173.7219,10,4.7,mb,,126,5.353,0.98,us,us70006qut,2019-12-25T07:53:33.040Z,"110km SW of Ceva-i-Ra, Fiji",earthquake,11.9,1.9,0.121,21,reviewed,us,us
2019-12-25T03:45:51.380Z,-21.9499,173.4771,39.89,5.1,mb,,124,5.624,1.15,us,us70006qtd,2019-12-25T04:04:36.040Z,"116km W of Ceva-i-Ra, Fiji",earthquake,10.7,7.9,0.073,60,reviewed,us,us
